,persona 1,persona 2,label,sentiment,date,original_index
0,camila vallejo,gabriel boric,statement,neutral,Unknown,0
1,claudia mix,gabriel boric,suggestion,positive,Unknown,0
2,nathalie castillo,gabriel boric,support,positive,Unknown,0
3,camila vallejo,claudia mix,response,neutral,Unknown,0
4,camila vallejo,nathalie castillo,response,neutral,Unknown,0
5,pamela jiles,presidente boric,criticizes,negative,Unknown,1
6,pamela jiles,pamela jiles,supports,positive,Unknown,1
7,pamela jiles,luis sanchez,vote,neutral,Unknown,2
8,andrés allamand,cristián labbé,criticized,negative,Unknown,3
9,andrés allamand,jaime araya,criticized,negative,Unknown,3
10,andrés allamand,catalina pérez,criticized,negative,Unknown,3
11,andrés allamand,andrés celis,criticized,negative,Unknown,3
12,andrés allamand,jorge brito,criticized,negative,Unknown,3
13,cristián labbé,andrés allamand,reviewer,neutral,Unknown,3
14,jaime araya,andrés allamand,reviewer,neutral,Unknown,3
15,catalina pérez,andrés allamand,reviewer,neutral,Unknown,3
16,andrés celis,andrés allamand,reviewer,neutral,Unknown,3
17,jorge brito,andrés allamand,reviewer,neutral,Unknown,3
18,jose antonio kast,daniela vega,commented,negative,Unknown,4
19,jose antonio kast,johannes kaiser,mentioned,neutral,Unknown,4
20,johannes kaiser,emilia schneider,mocked,negative,Unknown,4
21,jose antonio kast,jose antonio kast,reflected,neutral,Unknown,4
22,juan antonio coloma,cristina bravo,forcejeo,negative,Unknown,5
23,sebastian piñera,juan antonio coloma,president,neutral,Unknown,5
24,sebastian piñera,cristina bravo,governor,neutral,Unknown,5
25,alejandra valle,victor pino,questioned,negative,Unknown,6
26,alejandra valle,ruben oyarzo,questioned,negative,Unknown,6
27,alejandra valle,miguel becker,questioned,negative,Unknown,6
28,alejandra valle,ricardo cifuentes,questioned,negative,Unknown,6
29,alejandra valle,cristobal urruticoechea,questioned,negative,Unknown,6
30,parisi,stingo,responded,neutral,Unknown,6
31,fabiola campillai,maría luisa cordero,conflict,negative,Unknown,7
32,gabriel boric,fabiola campillai,support,positive,Unknown,7
33,gabriel boric,maría luisa cordero,condemnation,negative,Unknown,7
34,sebastian videla,ministerio de transportes y telecomunicaciones,officiated,neutral,Unknown,8
35,sebastian videla,carabineros,coordinated,positive,Unknown,8
36,sebastian videla,administracion de terminal de buses,coordinated,positive,Unknown,8
37,gonzalo de la carrera,alexis sepulveda,aggression,negative,Unknown,9
38,gonzalo de la carrera,daniel manouchehri,aggression,negative,Unknown,9
39,nelson venegas,gonzalo de la carrera,sanction,negative,Unknown,9
40,jaime naranjo,sebastián piñera,opposition,negative,Unknown,10
41,giorgio jackson,sebastián piñera,support,negative,Unknown,10
42,giorgio jackson,jaime naranjo,collaboration,positive,Unknown,10
43,gabriel boric,giorgio jackson,contact,neutral,Unknown,10
44,cristhian moreira,izkia siches,vote,positive,Unknown,11
45,natalia romero,izkia siches,vote,negative,Unknown,11
46,fernando bórquez,izkia siches,vote,negative,Unknown,11
47,maría candelaria acevedo,izkia siches,vote,negative,Unknown,11
48,cristián matheson,izkia siches,abstain,neutral,Unknown,11
49,cristóbal urruticoechea,juan manuel zolezzi,requested,neutral,Unknown,12
50,harry jürgensen,juan manuel zolezzi,requested,neutral,Unknown,12
51,francisco chahuán,gonzalo winter,comment,negative,Unknown,13
52,gonzalo winter,francisco chahuán,response,negative,Unknown,13
53,gonzalo winter,constanza santa maría,interaction,neutral,Unknown,13
54,rojo edwards,boric,criticizes,negative,Unknown,14
55,jose antonio neme,boric,interrupts,neutral,Unknown,14
56,rojo edwards,karol cariola,addresses,neutral,Unknown,14
57,karol cariola,rojo edwards,responds,positive,Unknown,14
58,francisco undurraga,jose antonio kast,critique,negative,Unknown,15
59,daniela aranguiz,jorge valdivia,ex-partner,negative,Unknown,16
60,jorge valdivia,maite orsini,partner,positive,Unknown,16
61,daniela aranguiz,arturo vidal,inquire,neutral,Unknown,16
62,daniela aranguiz,mario velasco,contact,neutral,Unknown,16
63,patricia maldonado,lorena pizarro,criticizes,negative,Unknown,17
64,patricia maldonado,johannes kaiser,supports,positive,Unknown,17
65,lorena pizarro,johannes kaiser,conflict,negative,Unknown,17
66,johannes kaiser,giorgio jackson,accusation,negative,Unknown,18
67,johannes kaiser,jaime naranjo,reference,neutral,Unknown,18
68,jaime naranjo,sebastián piñera,accusation,negative,Unknown,18
69,camila flores,camila flores,mother,positive,Unknown,19
70,camila flores,maría luisa cordero,colleague,neutral,Unknown,19
71,maría luisa cordero,camila flores,concern,positive,Unknown,19
72,gonzalo de la carrera,alexis sepulveda,aggression,negative,Unknown,20
73,gonzalo de la carrera,marcela riquelme,insult,negative,Unknown,20
74,nelson venegas,gonzalo de la carrera,sanction,negative,Unknown,20
75,gonzalo de la carrera,daniel manouchehri,aggression,negative,Unknown,20
76,nelson venegas,gonzalo de la carrera,sanction,negative,Unknown,20
77,jaime naranjo,carmen hertz,collaborate,positive,Unknown,22
78,jaime naranjo,francisca solar,invite,positive,Unknown,22
79,francisca solar,jaime naranjo,participate,positive,Unknown,22
80,jaime naranjo,sebastián piñera,oppose,negative,Unknown,22
81,giorgio jackson,jaime naranjo,vote,neutral,Unknown,22
82,gonzalo de la carrera,alexis sepulveda,aggression,negative,Unknown,23
83,johannes kaiser,gonzalo de la carrera,support,positive,Unknown,23
84,johannes kaiser,alexis sepulveda,comment,neutral,Unknown,23
85,carcamo,javier macaya,accusation,negative,Unknown,25
86,sedini,carcamo,response,negative,Unknown,25
87,carcamo,emilia schneider,insult,negative,Unknown,25
88,emilia schneider,carcamo,defense,positive,Unknown,25
89,emilia schneider,sergio bobadilla,mention,neutral,Unknown,25
90,sergio bobadilla,juan manuel fuenzalida,colleague,positive,Unknown,26
91,sergio bobadilla,presidente boric,critic,negative,Unknown,26
92,juan manuel fuenzalida,presidente boric,critic,negative,Unknown,26
93,francisca ayala,hotuiti teao,spouse,positive,Unknown,27
94,hotuiti teao,francisca ayala,spouse,positive,Unknown,27
95,luis cuello,carolina tello,collaborates,positive,Unknown,28
96,que pase la micro,luis cuello,supports,positive,Unknown,28
97,que pase la micro,carolina tello,supports,positive,Unknown,28
98,sebastian videla,mujer,witnessed,neutral,Unknown,29
99,karol cariola,sergio bobadilla,conflict,negative,Unknown,30
100,sergio bobadilla,karol cariola,defense,neutral,Unknown,30
101,marcela ríos,jorge mateluna,accusation,negative,Unknown,31
102,gabriel boric,jorge mateluna,decision,neutral,Unknown,31
103,giorgio jackson,johannes kaiser,criticism,negative,Unknown,31
104,patricia hidalgo,giorgio jackson,accusation,negative,Unknown,31
105,mauricio ojeda,giorgio jackson,support,positive,Unknown,31
106,raul soto,karol cariola,opinion,neutral,Unknown,32
107,ricardo cifuentes,vlado mirosevic,replaced,neutral,Unknown,33
108,ricardo cifuentes,carmen hertz,partner,positive,Unknown,33
109,ricardo cifuentes,daniella cicardini,partner,positive,Unknown,33
110,ricardo cifuentes,michelle bachelet,served_under,neutral,Unknown,33
111,jorge alessandri,juan antonio coloma,leadership,positive,Unknown,34
112,juan antonio coloma,izkia siches,reporting,neutral,Unknown,34
113,eric aedo,gabriel boric,complaint,negative,Unknown,35
114,felipe camaño,gabriel boric,opportunity,positive,Unknown,35
115,eric aedo,felipe camaño,support,positive,Unknown,35
116,sebastian videla,mujer,accused,negative,Unknown,36
117,mujer,sebastian videla,victim,negative,Unknown,36
118,johannes kaiser,jose antonio kast,supports,positive,Unknown,37
119,jose antonio kast,johannes kaiser,rejects,negative,Unknown,37
120,luis sanchez,camila rojas,colleague,neutral,Unknown,38
121,luis sanchez,luis sanchez,self,neutral,Unknown,38
122,mario marcel,pamela jiles,criticized,negative,Unknown,39
123,pamela jiles,gabriel boric,criticized,negative,Unknown,39
124,raul leiva,pamela jiles,reprimanded,negative,Unknown,39
125,mario schilling,pablo lorenzini,vote,positive,Unknown,40
126,mario schilling,juan josé ossa,support,positive,Unknown,40
127,pablo lorenzini,juan josé ossa,support,positive,Unknown,40
128,boris barrera,juan josé ossa,abstain,neutral,Unknown,40
129,marcelo díaz,juan josé ossa,abstain,neutral,Unknown,40
130,cosme mellado,juan josé ossa,abstain,neutral,Unknown,40
131,gabriel silber,juan josé ossa,abstain,neutral,Unknown,40
132,yovana ahumada,víctor pino,leadership,positive,Unknown,41
133,yovana ahumada,roberto arroyo,affiliation,positive,Unknown,41
134,víctor pino,roberto arroyo,affiliation,positive,Unknown,41
135,yovana ahumada,vlado mirosevic,criticism,negative,Unknown,41
136,víctor pino,vlado mirosevic,criticism,negative,Unknown,41
137,roberto arroyo,vlado mirosevic,criticism,negative,Unknown,41
138,camila rojas,emilia schneider,collaboration,positive,Unknown,42
139,emilia schneider,camila rojas,collaboration,positive,Unknown,42
140,yasna provoste,jaime naranjo,appoints,positive,Unknown,43
141,yasna provoste,sebastian pinera,criticizes,negative,Unknown,43
142,jaime naranjo,sebastian pinera,opposes,negative,Unknown,43
143,karol cariola,pamela jiles,disagreement,negative,Unknown,44
144,karol cariola,gabriel boric,support,positive,Unknown,44
145,pamela jiles,karol cariola,criticism,negative,Unknown,44
146,gabriel boric,karol cariola,opposition,negative,Unknown,44
147,karol cariola,gonzalo duran,collaborate,positive,Unknown,46
148,karol cariola,carolina arredondo,collaborate,positive,Unknown,46
149,gonzalo duran,karol cariola,support,positive,Unknown,46
150,gonzalo duran,carolina arredondo,support,positive,Unknown,46
151,carolina arredondo,karol cariola,support,positive,Unknown,46
152,carolina arredondo,gonzalo duran,support,positive,Unknown,46
153,gonzalo müller,guillermo teillier,discussed,neutral,Unknown,47
154,jose francisco lagos,guillermo teillier,discussed,neutral,Unknown,47
155,flor weisse,guillermo teillier,criticized,negative,Unknown,47
156,cesar guzman,guillermo teillier,discussed,neutral,Unknown,47
157,guillermo teillier,flor weisse,responded,negative,Unknown,47
158,jorge saffirio,eric aedo,resignation,negative,Unknown,49
159,joanna pérez,eric aedo,resignation,negative,Unknown,49
160,eric aedo,jorge saffirio,reaction,negative,Unknown,49
161,eric aedo,joanna pérez,reaction,negative,Unknown,49
162,miguel ángel calisto,eric aedo,resignation,negative,Unknown,49
163,vlado mirosevic,miguel ángel calisto,election,neutral,Unknown,49
164,alberto undurraga,eric aedo,member,neutral,Unknown,49
165,héctor barría,eric aedo,member,neutral,Unknown,49
166,ricardo cifuentes,eric aedo,member,neutral,Unknown,49
167,felipe caamaño,eric aedo,member,neutral,Unknown,49
168,gastón von mühlenbrock,jaime naranjo,colleague,neutral,Unknown,50
169,gastón von mühlenbrock,frank sauerbaum,colleague,neutral,Unknown,50
170,gastón von mühlenbrock,boris barrera,colleague,neutral,Unknown,50
171,gastón von mühlenbrock,gael yeomans,colleague,neutral,Unknown,50
172,jaime naranjo,gastón von mühlenbrock,colleague,neutral,Unknown,50
173,jaime naranjo,frank sauerbaum,colleague,neutral,Unknown,50
174,jaime naranjo,boris barrera,colleague,neutral,Unknown,50
175,jaime naranjo,gael yeomans,colleague,neutral,Unknown,50
176,frank sauerbaum,gastón von mühlenbrock,colleague,neutral,Unknown,50
177,frank sauerbaum,jaime naranjo,colleague,neutral,Unknown,50
178,frank sauerbaum,boris barrera,colleague,neutral,Unknown,50
179,frank sauerbaum,gael yeomans,colleague,neutral,Unknown,50
180,boris barrera,gastón von mühlenbrock,colleague,neutral,Unknown,50
181,boris barrera,jaime naranjo,colleague,neutral,Unknown,50
182,boris barrera,frank sauerbaum,colleague,neutral,Unknown,50
183,boris barrera,gael yeomans,colleague,neutral,Unknown,50
184,gael yeomans,gastón von mühlenbrock,colleague,neutral,Unknown,50
185,gael yeomans,jaime naranjo,colleague,neutral,Unknown,50
186,gael yeomans,frank sauerbaum,colleague,neutral,Unknown,50
187,gael yeomans,boris barrera,colleague,neutral,Unknown,50
188,viviana delgado,avila,dispute,negative,Unknown,51
189,fernando bórquez,viviana delgado,support,positive,Unknown,51
190,flor weisse,viviana delgado,support,positive,Unknown,51
191,marlene pérez,viviana delgado,support,positive,Unknown,51
192,fernando bórquez,juan santana,censure,negative,Unknown,51
193,flor weisse,juan santana,censure,negative,Unknown,51
194,marlene pérez,juan santana,censure,negative,Unknown,51
195,yovana ahumada,víctor pino,colleague,neutral,Unknown,52
196,yovana ahumada,roberto arroyo,colleague,neutral,Unknown,52
197,víctor pino,yovana ahumada,colleague,neutral,Unknown,52
198,víctor pino,roberto arroyo,colleague,neutral,Unknown,52
199,roberto arroyo,yovana ahumada,colleague,neutral,Unknown,52
200,roberto arroyo,víctor pino,colleague,neutral,Unknown,52
201,jose antonio kast,franco parisi,discussed,negative,Unknown,53
202,jose antonio kast,emilia schneider,criticized,negative,Unknown,53
203,johannes kaiser,emilia schneider,mocked,negative,Unknown,53
204,gloria naveillan,emilia schneider,mocked,negative,Unknown,53
205,álvaro carter,carlos montes,interpelar,negative,Unknown,54
206,álvaro carter,cristian labbé,part of,neutral,Unknown,54
207,álvaro carter,joaquín lavín,part of,neutral,Unknown,54
208,álvaro carter,marco antonio sulantay,part of,neutral,Unknown,54
209,álvaro carter,natalia romero,part of,neutral,Unknown,54
210,álvaro carter,marlene pérez,part of,neutral,Unknown,54
211,álvaro carter,rubén oyarzo,part of,neutral,Unknown,54
212,daniel andrade,catalina pérez,partner,positive,Unknown,54
213,carlos contreras,catalina pérez,advisor,neutral,Unknown,54
214,carlos contreras,carlos montes,former,negative,Unknown,54
215,jose meza,rubén oyarzo,support,positive,Unknown,55
216,jose meza,cristóbal martínez,discuss,neutral,Unknown,55
217,jose meza,carolina tello,support,positive,Unknown,55
218,jose meza,camila musante,support,positive,Unknown,55
219,marisela santibañez,sebastian piñera,criticizes,negative,Unknown,56
