,persona 1,persona 2,label,sentiment,date,original_index
0,camila vallejo,gabriel boric,statement,neutral,Unknown,0
1,claudia mix,gabriel boric,suggestion,positive,Unknown,0
2,nathalie castillo,gabriel boric,support,positive,Unknown,0
3,camila vallejo,claudia mix,response,neutral,Unknown,0
4,camila vallejo,nathalie castillo,response,neutral,Unknown,0
5,pamela jiles,gabriel boric,criticizes,negative,Unknown,1
6,pamela jiles,luis sánchez,vote,negative,Unknown,2
7,luis sánchez,pamela jiles,vote,negative,Unknown,2
8,cristian labbé,andrés allamand,criticized,negative,Unknown,3
9,jaime araya,andrés allamand,criticized,negative,Unknown,3
10,catalina pérez,andrés allamand,criticized,negative,Unknown,3
11,andrés celis,andrés allamand,criticized,negative,Unknown,3
12,jorge brito,andrés allamand,criticized,negative,Unknown,3
13,jose antonio kast,daniela vega,commented,neutral,Unknown,4
14,jose antonio kast,johannes kaiser,mentioned,neutral,Unknown,4
15,johannes kaiser,emilia schneider,mocked,negative,Unknown,4
16,juan antonio coloma,cristina bravo,forcejeo,negative,Unknown,5
17,sebastián piñera,juan antonio coloma,president,neutral,Unknown,5
18,sebastián piñera,cristina bravo,governor,neutral,Unknown,5
19,alejandra valle,víctor pino,criticizes,negative,Unknown,6
20,alejandra valle,rubén darío oyarzo,criticizes,negative,Unknown,6
21,alejandra valle,miguel ángel becker,criticizes,negative,Unknown,6
22,alejandra valle,ricardo cifuentes,criticizes,negative,Unknown,6
23,alejandra valle,cristóbal urruticoechea,criticizes,negative,Unknown,6
24,fabiola campillai,maría luisa cordero,criticizes,negative,Unknown,7
25,gabriel boric,fabiola campillai,supports,positive,Unknown,7
26,gabriel boric,maría luisa cordero,condemns,negative,Unknown,7
27,gonzalo de la carrera,alexis sepúlveda,assault,negative,Unknown,9
28,gonzalo de la carrera,daniel manouchehri,assault,negative,Unknown,9
29,nelson venegas,gonzalo de la carrera,sanction,negative,Unknown,9
30,jaime naranjo,sebastián piñera,opposition,negative,Unknown,10
31,jaime naranjo,giorgio jackson,support,positive,Unknown,10
32,giorgio jackson,gabriel boric,contact,neutral,Unknown,10
33,cristhian moreira,maría candelaria acevedo,vote,negative,Unknown,11
34,natalia romero,maría candelaria acevedo,vote,negative,Unknown,11
35,fernando bórquez,maría candelaria acevedo,vote,negative,Unknown,11
36,cristián matheson,cristhian moreira,vote,neutral,Unknown,11
37,juan manuel zolezzi,cristóbal urruticoechea,accusation,negative,Unknown,12
38,juan manuel zolezzi,harry jürgensen,accusation,negative,Unknown,12
39,cristóbal urruticoechea,juan manuel zolezzi,request,neutral,Unknown,12
40,harry jürgensen,juan manuel zolezzi,request,neutral,Unknown,12
41,francisco chahuán,gonzalo winter,comment,negative,Unknown,13
42,gonzalo winter,francisco chahuán,response,negative,Unknown,13
43,gonzalo winter,constanza santa maría,interaction,neutral,Unknown,13
44,rojo edwards,jose antonio neme,interrupts,negative,Unknown,14
45,jose antonio neme,presidente boric,criticizes,negative,Unknown,14
46,jose antonio neme,karol cariola,addresses,neutral,Unknown,14
47,karol cariola,jose antonio neme,responds,positive,Unknown,14
48,francisco undurraga,jose antonio kast,criticizes,negative,Unknown,15
49,daniela aránguiz,jorge valdivia,ex-partner,negative,Unknown,16
50,jorge valdivia,maite orsini,partner,positive,Unknown,16
51,daniela aránguiz,maite orsini,rival,negative,Unknown,16
52,daniela aránguiz,mario velasco,contact,neutral,Unknown,16
53,jorge valdivia,arturo vidal,interview,neutral,Unknown,16
54,patricia maldonado,lorena pizarro,criticizes,negative,Unknown,17
55,patricia maldonado,johannes kaiser,supports,positive,Unknown,17
56,lorena pizarro,johannes kaiser,conflict,negative,Unknown,17
57,johannes kaiser,jaime naranjo,reference,neutral,Unknown,18
58,jaime naranjo,sebastián piñera,former president,neutral,Unknown,18
59,camila flores,maría luisa cordero,support,positive,Unknown,19
60,maría luisa cordero,camila flores,concern,positive,Unknown,19
61,gonzalo de la carrera,alexis sepúlveda,aggression,negative,Unknown,20
62,gonzalo de la carrera,marcela riquelme,insult,negative,Unknown,20
63,nelson venegas,gonzalo de la carrera,sanction,negative,Unknown,20
64,gonzalo de la carrera,daniel manouchehri,aggression,negative,Unknown,20
65,nelson venegas,gonzalo de la carrera,sanction,negative,Unknown,20
66,karol cariola,marcos ilabaca,vote,negative,Unknown,21
67,luis cuello,marcos ilabaca,vote,negative,Unknown,21
68,jorge brito,marcos ilabaca,vote,negative,Unknown,21
69,marcos ilabaca,karim bianchi,vote,negative,Unknown,21
70,juan antonio coloma,alfonso de urresti,abstain,neutral,Unknown,21
71,francisco chahuán,alfonso de urresti,abstain,neutral,Unknown,21
72,rojo edwards,alfonso de urresti,abstain,neutral,Unknown,21
73,jaime naranjo,carmen hertz,collaborate,positive,Unknown,22
74,jaime naranjo,francisca solar,invite,positive,Unknown,22
75,jaime naranjo,sebastián piñera,oppose,negative,Unknown,22
76,jaime naranjo,giorgio jackson,wait,neutral,Unknown,22
77,gonzalo de la carrera,alexis sepúlveda,aggression,negative,Unknown,23
78,johannes kaiser,gonzalo de la carrera,support,positive,Unknown,23
79,johannes kaiser,alexis sepúlveda,comment,neutral,Unknown,23
80,maite orsini,camila rojas,collaborates,positive,Unknown,24
81,maite orsini,gael yeomanns,collaborates,positive,Unknown,24
82,camila rojas,gael yeomanns,collaborates,positive,Unknown,24
83,cárcamo,sedini,accuse,negative,Unknown,25
84,cárcamo,emilia schneider,accuse,negative,Unknown,25
85,emilia schneider,cárcamo,defend,positive,Unknown,25
86,emilia schneider,sergio bobadilla,mention,neutral,Unknown,25
87,sedini,cárcamo,respond,negative,Unknown,25
88,sedini,emilia schneider,interrupt,negative,Unknown,25
89,sergio bobadilla,juan manuel fuenzalida,colleague,positive,Unknown,26
90,sergio bobadilla,presidente boric,criticize,negative,Unknown,26
91,juan manuel fuenzalida,presidente boric,criticize,negative,Unknown,26
92,francisca ayala,hotuiti teao,celebration,positive,Unknown,27
93,luis cuello,carolina tello,collaborate,positive,Unknown,28
94,karol cariola,sergio bobadilla,conflict,negative,Unknown,30
95,sergio bobadilla,karol cariola,defense,neutral,Unknown,30
96,johannes kaiser,giorgio jackson,accusation,negative,Unknown,31
97,mauricio ojeda,johannes kaiser,support,positive,Unknown,31
98,raul soto,karol cariola,opinion,neutral,Unknown,32
99,ricardo cifuentes,vlado mirosevic,replaced,neutral,Unknown,33
100,ricardo cifuentes,carmen hertz,partner,positive,Unknown,33
101,ricardo cifuentes,daniella cicardini,partner,positive,Unknown,33
102,ricardo cifuentes,michelle bachelet,served_under,neutral,Unknown,33
103,jorge alessandri,juan antonio coloma,leadership,positive,Unknown,34
104,juan antonio coloma,izkia siches,report,neutral,Unknown,34
105,eric aedo,gabriel boric,complaint,negative,Unknown,35
106,felipe camaño,gabriel boric,opportunity,positive,Unknown,35
107,eric aedo,felipe camaño,support,positive,Unknown,35
108,sebastián videla,sebastián videla,repudiated,positive,Unknown,36
109,johannes kaiser,jose antonio kast,support,positive,Unknown,37
110,jose antonio kast,johannes kaiser,reject,negative,Unknown,37
111,luis sánchez,camila rojas,collaboration,positive,Unknown,38
112,pamela jiles,mario marcel,criticized,negative,Unknown,39
113,pamela jiles,raul leiva,argued,negative,Unknown,39
114,raul leiva,pamela jiles,reprimanded,negative,Unknown,39
115,pamela jiles,gabriel boric,criticized,negative,Unknown,39
116,boris barrera,mario schilling,vote,positive,Unknown,40
117,boris barrera,pablo lorenzini,vote,positive,Unknown,40
118,marcelo díaz,boris barrera,abstain,neutral,Unknown,40
119,cosme mellado,boris barrera,abstain,neutral,Unknown,40
120,gabriel silber,boris barrera,abstain,neutral,Unknown,40
121,juan josé ossa,boris barrera,comment,positive,Unknown,40
122,yovana ahumada,víctor pino,leadership,positive,Unknown,41
123,yovana ahumada,roberto arroyo,collaboration,positive,Unknown,41
124,víctor pino,roberto arroyo,collaboration,positive,Unknown,41
125,yovana ahumada,vlado mirosevic,criticism,negative,Unknown,41
126,víctor pino,vlado mirosevic,criticism,negative,Unknown,41
127,roberto arroyo,vlado mirosevic,criticism,negative,Unknown,41
128,camila rojas,emilia schneider,collaboration,positive,Unknown,42
129,emilia schneider,camila rojas,collaboration,positive,Unknown,42
130,yasna provoste,jaime naranjo,appoint,positive,Unknown,43
131,karol cariola,pamela jiles,support,positive,Unknown,44
132,pamela jiles,karol cariola,criticism,negative,Unknown,44
133,gabriel boric,karol cariola,opposition,negative,Unknown,44
134,karol cariola,gonzalo durán,collaborates,positive,Unknown,46
135,karol cariola,carolina arredondo,collaborates,positive,Unknown,46
136,gonzalo durán,karol cariola,supports,positive,Unknown,46
137,carolina arredondo,karol cariola,supports,positive,Unknown,46
138,flor weisse,flor weisse,consensus,negative,Unknown,47
139,jorge saffirio,eric aedo,resignation,negative,Unknown,49
140,joanna pérez,eric aedo,resignation,negative,Unknown,49
141,eric aedo,jorge saffirio,comment,positive,Unknown,49
142,eric aedo,joanna pérez,comment,positive,Unknown,49
143,miguel ángel calisto,vlado mirosevic,resignation,negative,Unknown,49
144,alberto undurraga,eric aedo,member,neutral,Unknown,49
145,héctor barría,eric aedo,member,neutral,Unknown,49
146,ricardo cifuentes,eric aedo,member,neutral,Unknown,49
147,felipe camaño,eric aedo,member,neutral,Unknown,49
148,gastón von mühlenbrock,jaime naranjo,colleague,neutral,Unknown,50
149,gastón von mühlenbrock,frank sauerbaum,colleague,neutral,Unknown,50
150,gastón von mühlenbrock,boris barrera,colleague,neutral,Unknown,50
151,gastón von mühlenbrock,gael yeomans,colleague,neutral,Unknown,50
152,jaime naranjo,gastón von mühlenbrock,colleague,neutral,Unknown,50
153,jaime naranjo,frank sauerbaum,colleague,neutral,Unknown,50
154,jaime naranjo,boris barrera,colleague,neutral,Unknown,50
155,jaime naranjo,gael yeomans,colleague,neutral,Unknown,50
156,frank sauerbaum,gastón von mühlenbrock,colleague,neutral,Unknown,50
157,frank sauerbaum,jaime naranjo,colleague,neutral,Unknown,50
158,frank sauerbaum,boris barrera,colleague,neutral,Unknown,50
159,frank sauerbaum,gael yeomans,colleague,neutral,Unknown,50
160,boris barrera,gastón von mühlenbrock,colleague,neutral,Unknown,50
161,boris barrera,jaime naranjo,colleague,neutral,Unknown,50
162,boris barrera,frank sauerbaum,colleague,neutral,Unknown,50
163,boris barrera,gael yeomans,colleague,neutral,Unknown,50
164,gael yeomans,gastón von mühlenbrock,colleague,neutral,Unknown,50
165,gael yeomans,jaime naranjo,colleague,neutral,Unknown,50
166,gael yeomans,frank sauerbaum,colleague,neutral,Unknown,50
167,gael yeomans,boris barrera,colleague,neutral,Unknown,50
168,viviana delgado,ministro ávila,discussed,negative,Unknown,51
169,fernando bórquez,ministro ávila,accused,negative,Unknown,51
170,flor weisse,ministro ávila,accused,negative,Unknown,51
171,marlene pérez,ministro ávila,accused,negative,Unknown,51
172,fernando bórquez,juan santana,censured,negative,Unknown,51
173,flor weisse,juan santana,censured,negative,Unknown,51
174,marlene pérez,juan santana,censured,negative,Unknown,51
175,viviana delgado,juan santana,protected,negative,Unknown,51
176,yovana ahumada,roberto arroyo,resignation,negative,Unknown,52
177,yovana ahumada,víctor pino,resignation,negative,Unknown,52
178,roberto arroyo,yovana ahumada,support,positive,Unknown,52
179,víctor pino,yovana ahumada,support,positive,Unknown,52
180,roberto arroyo,víctor pino,support,positive,Unknown,52
181,jose antonio kast,franco parisi,denied,negative,Unknown,53
182,jose antonio kast,emilia schneider,amonestated,negative,Unknown,53
183,johannes kaiser,emilia schneider,mocked,negative,Unknown,53
184,gloria naveillan,emilia schneider,mocked,negative,Unknown,53
185,álvaro carter,carlos montes,criticizes,negative,Unknown,54
186,cristian labbé,carlos montes,criticizes,negative,Unknown,54
187,joaquín lavín,carlos montes,criticizes,negative,Unknown,54
188,marco antonio sulantay,carlos montes,criticizes,negative,Unknown,54
189,natalia romero,carlos montes,independent,neutral,Unknown,54
190,marlene pérez,carlos montes,independent,neutral,Unknown,54
191,rubén oyarzo,carlos montes,party_member,neutral,Unknown,54
192,daniel andrade,catalina pérez,partner,positive,Unknown,54
193,carlos contreras,catalina pérez,advisor,neutral,Unknown,54
194,jose meza,rubén oyarzo,support,positive,Unknown,55
195,jose meza,cristóbal martínez,discuss,neutral,Unknown,55
196,jose meza,carolina tello,support,positive,Unknown,55
197,jose meza,camila musante,support,positive,Unknown,55
198,juan antonio coloma,vlado mirosevic,attends,neutral,Unknown,57
199,juan antonio coloma,miguel littin,presides,neutral,Unknown,57
200,vlado mirosevic,miguel littin,attends,neutral,Unknown,57
201,jorge alessandri,maite orsini,inquire,neutral,Unknown,58
202,maite orsini,jorge valdivia,interfere,negative,Unknown,58
203,jorge alessandri,karina soza,consult,neutral,Unknown,58
204,gael yeomans,catalina pérez,involves,neutral,Unknown,59
205,gael yeomans,jorge atria,discusses,neutral,Unknown,59
206,jorge atria,mario marcel,negotiates,neutral,Unknown,59
207,ricardo mewes,mario marcel,opposes,negative,Unknown,59
208,maría luisa cordero,maite orsini,criticized,negative,Unknown,60
209,maite orsini,maría luisa cordero,demanded,negative,Unknown,60
210,alejandro barra,maría luisa cordero,supported,positive,Unknown,60
211,maría luisa cordero,martín padrenas,accused,negative,Unknown,60
212,vlado mirosevich,karol cariola,collaborate,positive,Unknown,61
213,cristhian moreira,gabriel boric,request,positive,Unknown,62
214,johannes kaiser,roberto cox,disagreement,negative,Unknown,63
215,roberto cox,johannes kaiser,commentary,neutral,Unknown,63
216,johannes kaiser,joaquín lavín,comparison,neutral,Unknown,63
217,johannes kaiser,carmen hertz,comparison,neutral,Unknown,63
218,frank sauerbaum,maría luisa cordero,defend,positive,Unknown,64
