,persona 1,persona 2,label,sentiment,date,original_index
0,francisco undurraga,florcita motuda,commented,neutral,Unknown,1
1,florcita motuda,francisco undurraga,canted,neutral,Unknown,1
2,francisco undurraga,jaime naranjo,promised,neutral,Unknown,1
3,jaime naranjo,francisco undurraga,promised,neutral,Unknown,1
4,francisco undurraga,jackson,waiting,neutral,Unknown,1
5,daniel tapia,gonzalo winter,discuss,neutral,Unknown,2
6,daniel tapia,juan antonio coloma,discuss,neutral,Unknown,2
7,daniel tapia,ennio mangiola,discuss,neutral,Unknown,2
8,gonzalo winter,juan antonio coloma,discuss,neutral,Unknown,2
9,gonzalo winter,ennio mangiola,discuss,neutral,Unknown,2
10,juan antonio coloma,ennio mangiola,discuss,neutral,Unknown,2
11,cristian labbe,andres allamand,acusación,neutral,Unknown,3
12,andres celis,andres allamand,acusación,neutral,Unknown,3
13,catalina perez,andres allamand,acusación,neutral,Unknown,3
14,jaime araya,andres allamand,acusación,neutral,Unknown,3
15,jorge brito,andres allamand,acusación,neutral,Unknown,3
16,jorge alessandri,ministera siches,acusación,negative,Unknown,4
17,sergio bobadilla,ministera siches,acusación,negative,Unknown,4
18,juan manuel fuenzalida,ministera siches,acusación,negative,Unknown,4
19,camarada de diputados,ministera siches,reclamo,neutral,Unknown,4
20,chiara barchiesi,jair bolsonaro,support,positive,Unknown,5
21,chiara barchiesi,luiz inacio lula da silva,oppose,negative,Unknown,5
22,pamela jiles,felix gonzalez,collaborated,positive,Unknown,6
23,pamela jiles,parliament,proposed,positive,Unknown,6
24,felix gonzalez,parliament,proposed,positive,Unknown,6
25,parliament,state of exception constitutive,implemented,neutral,Unknown,6
26,guillermo ramirez,ministra de salud,critic,negative,Unknown,7
27,guillermo ramirez,ministra de salud,critic,negative,Unknown,7
28,guillermo ramirez,ministra de salud,critic,negative,Unknown,7
29,daniel lilayu,ministra de salud,critic,negative,Unknown,7
30,daniel lilayu,ministra de salud,critic,negative,Unknown,7
31,daniel lilayu,ministra de salud,critic,negative,Unknown,7
32,marta bravo,ministra de salud,critic,negative,Unknown,7
33,marta bravo,ministra de salud,critic,negative,Unknown,7
34,marta bravo,ministra de salud,critic,negative,Unknown,7
35,gloria hutt,frank sauberbaum,president,neutral,Unknown,8
36,gloria hutt,guillermo ramirez,president,neutral,Unknown,8
37,gloria hutt,benjamin moreno,president,neutral,Unknown,8
38,giorgio jackson,gabriel boric,departure,negative,Unknown,8
39,gabriel boric,sergio onofre jarpa,criticism,negative,Unknown,8
40,gabriel boric,frank sauberbaum,demand,negative,Unknown,8
41,gabriel boric,guillermo ramirez,demand,negative,Unknown,8
42,gabriel boric,benjamin moreno,demand,negative,Unknown,8
43,gustavo benavente,ejecutivo,tuit,neutral,Unknown,9
44,gustavo benavente,diputados,oficiar,neutral,Unknown,9
45,gustavo benavente,urdi,oficiar,neutral,Unknown,9
46,gustavo benavente,presidencia,oficiar,neutral,Unknown,9
47,gustavo benavente,ministerio,oficiar,neutral,Unknown,9
48,gustavo benavente,defensa,oficiar,neutral,Unknown,9
49,gustavo benavente,cultura,oficiar,neutral,Unknown,9
50,cristhian moreira,ejecutivo,oficiar,neutral,Unknown,9
51,cristhian moreira,urdi,oficiar,neutral,Unknown,9
52,cristhian moreira,presidencia,oficiar,neutral,Unknown,9
53,cristhian moreira,ministerio,oficiar,neutral,Unknown,9
54,cristhian moreira,defensa,oficiar,neutral,Unknown,9
55,cristhian moreira,cultura,oficiar,neutral,Unknown,9
56,juan antonio coloma,manuel monsalve,oppose,negative,Unknown,10
57,la defensoría de la niñez,kontrabando,solicitar,neutral,Unknown,12
58,renovacion nacional,kontrabando,solicitar,neutral,Unknown,12
59,emol,kontrabando,solicitar,neutral,Unknown,12
60,sara concha,kontrabando,solicitar,neutral,Unknown,12
61,francesca muñoz,kontrabando,solicitar,neutral,Unknown,12
62,andres longton,kontrabando,solicitar,neutral,Unknown,12
63,la defensoría de la niñez,museo interactivo mirador,solicitar,neutral,Unknown,12
64,renovacion nacional,museo interactivo mirador,solicitar,neutral,Unknown,12
65,emol,museo interactivo mirador,solicitar,neutral,Unknown,12
66,sara concha,museo interactivo mirador,solicitar,neutral,Unknown,12
67,francesca muñoz,museo interactivo mirador,solicitar,neutral,Unknown,12
68,andres longton,museo interactivo mirador,solicitar,neutral,Unknown,12
69,bloque,alvaro elizalde,pide,neutral,Unknown,13
70,bloque,raul soto,pide,neutral,Unknown,13
71,bloque,chile vamos,envía,neutral,Unknown,13
72,bloque,senado,envía,neutral,Unknown,13
73,bloque,cámara,envía,neutral,Unknown,13
74,bloque,timoneles,envía,neutral,Unknown,13
75,bloque,proceso constitucional,envía,neutral,Unknown,13
76,alvaro elizalde,bloque,recibe,neutral,Unknown,13
77,raul soto,bloque,recibe,neutral,Unknown,13
78,chile vamos,bloque,recibe,neutral,Unknown,13
79,senado,bloque,recibe,neutral,Unknown,13
80,cámara,bloque,recibe,neutral,Unknown,13
81,timoneles,bloque,recibe,neutral,Unknown,13
82,proceso constitucional,bloque,recibe,neutral,Unknown,13
83,raul soto,ppd,presidente,positive,Unknown,14
84,ppd,camarade,partido,neutral,Unknown,14
85,raul soto,officialismo,trabajo,positive,Unknown,14
86,officialismo,plebiscito,plebiscito,neutral,Unknown,14
87,plebiscito,rechazo,rechazo,negative,Unknown,14
88,raul soto,carta magna,redacción,positive,Unknown,14
89,henry leal,executive,accuse,negative,Unknown,16
90,henry leal,pc,accuse,negative,Unknown,16
91,henry leal,fa,accuse,negative,Unknown,16
92,marta bravo,executive,accuse,negative,Unknown,16
93,marta bravo,pc,accuse,negative,Unknown,16
94,marta bravo,fa,accuse,negative,Unknown,16
95,executive,senate,present,neutral,Unknown,16
96,senate,la ley nain-retamal,propose,neutral,Unknown,16
97,la ley nain-retamal,executive,reject,negative,Unknown,16
98,la ley nain-retamal,executive,reject,negative,Unknown,16
99,la ley nain-retamal,executive,reject,negative,Unknown,16
100,diego schalper,renovacion nacional,rechazo,negative,Unknown,17
101,renovacion nacional,chile vamos,calificacion,negative,Unknown,17
102,francisco undurraga,evopoli,exigencia,neutral,Unknown,17
103,evopoli,jorge guzmán,rechazo,neutral,Unknown,17
104,evopoli,marco avila,rechazo,neutral,Unknown,17
105,gabriel boric,elisa loncon,repudio,negative,Unknown,18
106,gabriel boric,marisela santibanez,repudio,negative,Unknown,18
107,gabriel boric,marco avila,vapuleo,negative,Unknown,18
108,gabriel boric,fabiola campillai,acusaciones,negative,Unknown,18
109,marisela santibanez,marcela riquelme,support,positive,Unknown,19
110,marisela santibanez,ana maria gazmuri,support,positive,Unknown,19
111,marcela riquelme,ana maria gazmuri,support,positive,Unknown,19
112,ana maria gazmuri,mario marcel,oppose,negative,Unknown,19
113,cristian labbé,andrés celis,colleague,neutral,Unknown,20
114,cristian labbé,catalina perez,colleague,neutral,Unknown,20
115,cristian labbé,jaime araya,colleague,neutral,Unknown,20
116,cristian labbé,jorge brito,colleague,neutral,Unknown,20
117,andrés celis,catalina perez,colleague,neutral,Unknown,20
118,andrés celis,jaime araya,colleague,neutral,Unknown,20
119,andrés celis,jorge brito,colleague,neutral,Unknown,20
120,catalina perez,jaime araya,colleague,neutral,Unknown,20
121,catalina perez,jorge brito,colleague,neutral,Unknown,20
122,jaime araya,jorge brito,colleague,neutral,Unknown,20
123,partido de la gente,frente amplio,opposition,neutral,Unknown,20
124,partido de la gente,evopoli,opposition,neutral,Unknown,20
125,frente amplio,evopoli,opposition,neutral,Unknown,20
126,francisco chahuán,diego schalper,mentor,neutral,Unknown,21
127,francisco chahuán,mario desbordes,mentor,neutral,Unknown,21
128,diego schalper,mario desbordes,mentor,neutral,Unknown,21
129,cristobal martinez,henry leal,colaboracion,positive,Unknown,22
130,henry leal,carabineros,propuesta,neutral,Unknown,22
131,henry leal,udi,apoyo,neutral,Unknown,22
132,jose,tomas de rementería,responde,neutral,Unknown,23
133,tomas de rementería,jaime araya,critica,negative,Unknown,23
134,carolina marzán,gabriel boric,associated,neutral,Unknown,24
135,carolina marzán,ppd,member,neutral,Unknown,24
136,carolina marzán,independientes,member,neutral,Unknown,24
137,raúl soto,ppd,member,neutral,Unknown,24
138,raúl soto,independientes,member,neutral,Unknown,24
139,helia molina,ppd,member,neutral,Unknown,24
140,helia molina,independientes,member,neutral,Unknown,24
141,gabriel boric,diputados,associated,neutral,Unknown,24
142,gabriel boric,marta gonzález,associated,neutral,Unknown,24
143,marta gonzález,constitución,associated,neutral,Unknown,24
144,ana maria gazmuri,congress,oppose,negative,Unknown,25
145,marisela santibanez,congress,oppose,negative,Unknown,25
146,valparaiso appellate court,congress,dismiss,neutral,Unknown,25
147,esto,gendarmería,involved,neutral,Unknown,26
148,esto,comuneros,involved,neutral,Unknown,26
149,gendarmería,longton,represent,neutral,Unknown,26
150,gendarmería,jorge,represent,neutral,Unknown,26
151,gendarmería,alessandri,represent,neutral,Unknown,26
152,gendarmería,chile vamos,represent,neutral,Unknown,26
153,longton,andres,represent,neutral,Unknown,26
154,longton,marcela,represent,neutral,Unknown,26
155,longton,rios,represent,neutral,Unknown,26
156,alessandri,justicia,represent,neutral,Unknown,26
157,alessandri,francisco,represent,neutral,Unknown,26
158,alessandri,evopoli,represent,neutral,Unknown,26
159,marcela,angol,involved,neutral,Unknown,26
160,marcela,araucania,involved,neutral,Unknown,26
161,juan irarrázaval,johannes kaiser,acusar,negative,Unknown,27
162,juan irarrázaval,christopher white,acusar,negative,Unknown,27
163,johannes kaiser,christopher white,acusar,negative,Unknown,27
164,andres longton,ossandón,questioned,negative,Unknown,28
165,miguel mellado,ossandón,questioned,negative,Unknown,28
166,ossandón,carolina tohá,met,neutral,Unknown,28
167,ossandón,manuel jose ossandón,met,neutral,Unknown,28
168,ossandón,ministro del interior,met,neutral,Unknown,28
169,manuel jose ossandón,ministro del interior,minister,neutral,Unknown,28
170,karim,carlos,senador,neutral,Unknown,29
171,carlos,vladdo mirosevic,electo,positive,Unknown,29
172,vladdo mirosevic,catalina perez,electo,positive,Unknown,29
173,catalina perez,miguel angel calisto,electo,positive,Unknown,29
174,andres longton,chamber of deputies,criticize,negative,Unknown,30
175,sofia cid,chamber of deputies,criticize,negative,Unknown,30
176,ikia siches,camila barros,request,negative,Unknown,30
177,chamber of deputies,urge,urge,negative,Unknown,30
178,chamber of deputies,commission,request,negative,Unknown,30
179,chamber of deputies,order,request,negative,Unknown,30
180,chamber of deputies,security,request,negative,Unknown,30
181,gonzalo winter,boric,analyzed,neutral,Unknown,31
182,juan antonio coloma,boric,analyzed,neutral,Unknown,31
183,gonzalo winter,juan antonio coloma,debated,neutral,Unknown,31
184,tomas hirsch,aranda,critic,negative,Unknown,32
185,tomas hirsch,juan santana,support,positive,Unknown,32
186,acción humanista,aranda,accused,negative,Unknown,32
187,juan santana,ps,represent,positive,Unknown,32
188,jeannette vega,henry leal,accuse,negative,Unknown,33
189,jeannette vega,sergio bobadilla,accuse,negative,Unknown,33
190,jeannette vega,flor weisse,accuse,negative,Unknown,33
191,henry leal,jeannette vega,respond,neutral,Unknown,33
192,sergio bobadilla,jeannette vega,respond,neutral,Unknown,33
193,flor weisse,jeannette vega,respond,neutral,Unknown,33
194,gustavo petro,pinochet,critic,negative,Unknown,34
195,gustavo petro,antonia urrejola,request,neutral,Unknown,34
196,juan irarrázaval,irací hassler,inquietar,negative,Unknown,35
197,juan irarrázaval,irací hassler,inquietar,negative,Unknown,35
198,johannes kaiser,irací hassler,inquietar,negative,Unknown,35
199,johannes kaiser,irací hassler,inquietar,negative,Unknown,35
200,juan irarrázaval,claudio gonzalez,inquietar,negative,Unknown,35
201,juan irarrázaval,claudio gonzalez,inquietar,negative,Unknown,35
202,johannes kaiser,claudio gonzalez,inquietar,negative,Unknown,35
203,johannes kaiser,claudio gonzalez,inquietar,negative,Unknown,35
204,juan irarrázaval,jean pierre,inquietar,negative,Unknown,35
205,juan irarrázaval,jean pierre,inquietar,negative,Unknown,35
206,johannes kaiser,jean pierre,inquietar,negative,Unknown,35
207,johannes kaiser,jean pierre,inquietar,negative,Unknown,35
