parliamentarian_1,parliamentarian_2,proportion_agreement
"Castillo, Nathalie","Romero, Agustín",0.8484848484848485
"Castillo, Nathalie","Sánchez, Luis",0.8590250329380764
"Pizarro, Lorena","Romero, Agustín",0.8616600790513834
"Kaiser, Johannes","Serrano, Daniela",0.8695652173913043
"Pizarro, Lorena","Sánchez, Luis",0.8722002635046113
"Barchiesi, Chiara","Castillo, Nathalie",0.8761528326745718
"Acevedo, María Candelaria","Romero, Agustín",0.8774703557312253
"Delgado, Viviana","Romero, Leonidas",0.8774703557312253
"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788
"Acevedo, María Candelaria","Kaiser, Johannes",0.8787878787878788
"Barrera, Boris","Kaiser, Johannes",0.8787878787878788
"Bobadilla, Sergio","Pizarro, Lorena",0.8827404479578392
"Castillo, Nathalie","Kaiser, Johannes",0.8840579710144928
"Cuello, Luis Alberto","Kaiser, Johannes",0.8840579710144928
"Cuello, Luis Alberto","Romero, Agustín",0.8853754940711462
"Romero, Agustín","Serrano, Daniela",0.8866930171277997
"Kaiser, Johannes","Pizarro, Lorena",0.8866930171277997
"Ramírez, Matías","Romero, Agustín",0.8906455862977603
"González, Félix","Romero, Leonidas",0.8932806324110671
"Ojeda, Mauricio","Riquelme, Marcela",0.8932806324110671
"Serrano, Daniela","Sánchez, Luis",0.8945981554677207
"Ramírez, Matías","Sánchez, Luis",0.8959156785243741
"Cuello, Luis Alberto","Sánchez, Luis",0.8959156785243741
"Acevedo, María Candelaria","Sánchez, Luis",0.8959156785243741
"Pizarro, Lorena","Schubert, Stephan",0.8972332015810277
"Barchiesi, Chiara","Ramírez, Matías",0.8972332015810277
"Acevedo, María Candelaria","Meza, José Carlos",0.8985507246376812
"Ramírez, Matías","Schubert, Stephan",0.8998682476943346
"Castillo, Nathalie","Schubert, Stephan",0.8998682476943346
"Barrera, Boris","Sánchez, Luis",0.9011857707509882
"Acevedo, María Candelaria","Ojeda, Mauricio",0.9011857707509882
"Castillo, Nathalie","Lilayu, Daniel",0.9011857707509882
"Cariola, Karol","Kaiser, Johannes",0.9038208168642952
"Giordano, Andrés","Kaiser, Johannes",0.9051383399209486
"Celis, Andrés","Fries, Lorena",0.9051383399209486
"Jürgensen, Harry","Pizarro, Lorena",0.9051383399209486
"Kaiser, Johannes","Riquelme, Marcela",0.9051383399209486
"Castillo, Nathalie","Ojeda, Mauricio",0.9064558629776021
"Coloma, Juan Antonio","Pizarro, Lorena",0.9064558629776021
"Kaiser, Johannes","Placencia, Alejandra",0.9064558629776021
"Ibáñez, Diego","Kaiser, Johannes",0.9077733860342556
"Acevedo, María Candelaria","Barchiesi, Chiara",0.9077733860342556
"Castillo, Nathalie","Jürgensen, Harry",0.9077733860342556
"Barrera, Boris","Ojeda, Mauricio",0.9090909090909091
"Barrera, Boris","Romero, Agustín",0.9090909090909091
"Kaiser, Johannes","Nuyado, Emilia",0.9090909090909091
"Barrera, Boris","Schubert, Stephan",0.9104084321475626
"Barchiesi, Chiara","Barrera, Boris",0.9104084321475626
"Kaiser, Johannes","Sáez, Jaime",0.9104084321475626
"Meza, José Carlos","Serrano, Daniela",0.9104084321475626
"Araya, Cristián","Pizarro, Lorena",0.9117259552042161
"Meza, José Carlos","Ramírez, Matías",0.9117259552042161
"Barrera, Boris","Meza, José Carlos",0.9117259552042161
"Cornejo, Eduardo","Ramírez, Matías",0.9117259552042161
"Bobadilla, Sergio","Castillo, Nathalie",0.9117259552042161
"Ojeda, Mauricio","Serrano, Daniela",0.9130434782608695
"Lilayu, Daniel","Pizarro, Lorena",0.9143610013175231
"Ojeda, Mauricio","Ramírez, Matías",0.9143610013175231
"Schubert, Stephan","Serrano, Daniela",0.9143610013175231
"Araya, Cristián","Castillo, Nathalie",0.9143610013175231
"Meza, José Carlos","Riquelme, Marcela",0.9143610013175231
"Acevedo, María Candelaria","Schubert, Stephan",0.9156785243741765
"Castillo, Nathalie","Moreno, Benjamín",0.9169960474308301
