level_0,index,parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,person_1,person_2,label,sentiment,weight,node_vector_1,node_vector_2,same_party,same_sector,same_region,weight_edge,community_1,community_2,same_comunity,y_binaria,normalized_agreement
0,5,"Barchiesi, Chiara","Castillo, Nathalie",0.8761528326745718,Región de Valparaíso (16),Región de Coquimbo (7),PLR,PCCh,Chiara Barchiesi Chavez,Nathalie Castillo Rojas,derecha,izquierda,chiara barchiesi,nathalie castillo,negative,,0.5,"(-0.690045177936554, 0.42811182141304016, -0.41042402386665344, -0.34727251529693604, -0.11909479647874832, -0.20080368220806122, -0.11161044239997864, 0.6691046357154846, 1.247182011604309, 0.033413879573345184, -0.5646708607673645, -0.3074672818183899)","(-0.8092057704925537, 0.7760384678840637, -0.3340529501438141, -0.11934711039066315, -0.13445216417312622, -0.14021965861320496, -0.15740054845809937, -0.09640427678823471, 0.28907132148742676, 0.029042266309261322, -0.2405732423067093, -0.3294845223426819)",0,0,0,-1.0,1.0,0.0,0,0,0.0
1,8,"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Lorena Pizarro Sierra,derecha,izquierda,chiara barchiesi,lorena pizarro,negative,,0.5,"(-0.690045177936554, 0.42811182141304016, -0.41042402386665344, -0.34727251529693604, -0.11909479647874832, -0.20080368220806122, -0.11161044239997864, 0.6691046357154846, 1.247182011604309, 0.033413879573345184, -0.5646708607673645, -0.3074672818183899)","(-0.42028093338012695, -0.04411144554615021, -0.13633206486701965, -0.22344647347927094, 0.1891767829656601, -0.25575774908065796, 0.026281043887138367, 0.7701910138130188, 1.0454020500183105, 0.01182760950177908, -0.1950940638780594, -0.0008730031549930573)",0,0,0,-1.0,1.0,1.0,1,0,0.001992031872509977
2,18,"Kaiser, Johannes","Pizarro, Lorena",0.8866930171277997,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Johannes Kaiser Barents-Von Hohenhagen,Lorena Pizarro Sierra,derecha,izquierda,johannes kaiser,lorena pizarro,negative,,0.5,"(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)","(-0.42028093338012695, -0.04411144554615021, -0.13633206486701965, -0.22344647347927094, 0.1891767829656601, -0.25575774908065796, 0.026281043887138367, 0.7701910138130188, 1.0454020500183105, 0.01182760950177908, -0.1950940638780594, -0.0008730031549930573)",0,0,1,-1.0,5.0,1.0,0,0,0.007968127490039825
3,34,"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,karol cariola,johannes kaiser,positive,,3.0,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)",0,0,1,1.5,0.0,5.0,0,0,0.020916334661354636
4,35,"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,karol cariola,johannes kaiser,negative,,0.5,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)",0,0,1,-1.0,0.0,5.0,0,0,0.020916334661354636
5,90,"Cariola, Karol","Sanchez, Luis",0.9262187088274044,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PLR,Karol Cariola Oliva,Luis Sanchez Ossa,izquierda,derecha,karol cariola,luis sanchez,negative,,0.5,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(-0.5075470209121704, -0.05229920148849487, -0.4706847667694092, -0.7402326464653015, -0.26726076006889343, 0.4745509922504425, -0.5740261077880859, -0.6142314076423645, -0.5138154029846191, -0.3833554983139038, 0.4744659960269928, -0.061603844165802)",0,0,0,-1.0,0.0,,0,0,0.03784860557768923
6,144,"Bobadilla, Sergio","Cariola, Karol",0.9420289855072465,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PCCh,Sergio Bobadilla Munoz,Karol Cariola Oliva,centro_derecha,izquierda,sergio bobadilla,karol cariola,neutral,,2.0,"(0.8366066813468933, 0.12245629727840424, -0.9530709981918335, 0.45356234908103943, -0.504688024520874, 0.4875708818435669, 0.05731780827045441, -0.009998638182878494, 0.05225972458720207, -0.27970007061958313, 0.13020622730255127, 0.17982208728790283)","(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)",0,0,0,0.5,1.0,0.0,0,0,0.04980079681274909
7,145,"Bobadilla, Sergio","Cariola, Karol",0.9420289855072465,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PCCh,Sergio Bobadilla Munoz,Karol Cariola Oliva,centro_derecha,izquierda,sergio bobadilla,karol cariola,negative,,0.5,"(0.8366066813468933, 0.12245629727840424, -0.9530709981918335, 0.45356234908103943, -0.504688024520874, 0.4875708818435669, 0.05731780827045441, -0.009998638182878494, 0.05225972458720207, -0.27970007061958313, 0.13020622730255127, 0.17982208728790283)","(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)",0,0,0,-1.0,1.0,0.0,0,0,0.04980079681274909
8,160,"Barchiesi, Chiara","Placencia, Alejandra",0.9459815546772068,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Alejandra Placencia Cabello,derecha,izquierda,chiara barchiesi,alejandra placencia,negative,,0.5,"(-0.690045177936554, 0.42811182141304016, -0.41042402386665344, -0.34727251529693604, -0.11909479647874832, -0.20080368220806122, -0.11161044239997864, 0.6691046357154846, 1.247182011604309, 0.033413879573345184, -0.5646708607673645, -0.3074672818183899)","(-0.7378429770469666, 0.4542829692363739, -0.49246275424957275, -0.32098832726478577, -0.18233434855937958, -0.23592442274093628, -0.13046807050704956, 0.670448899269104, 1.3652081489562988, 0.06991862505674362, -0.6740666627883911, -0.3341895639896393)",0,0,0,-1.0,1.0,,0,0,0.05278884462151393
9,178,"Lilayu, Daniel","Winter, Gonzalo",0.9486166007905138,Región de Los Lagos (9),Región Metropolitana de Santiago (47),UDI,CS,Daniel Lilayu Vivanco,Gonzalo Winter Etcheberry,centro_derecha,izquierda,daniel lilayu,gonzalo winter,negative,,0.5,"(0.3927661180496216, -0.18345585465431213, -0.7454008460044861, 0.7734689116477966, -0.03647441044449806, 0.6017210483551025, -0.3387516736984253, 0.43900081515312195, -0.4911862909793854, -0.019403912127017975, -0.24722036719322205, 0.2425178587436676)","(-0.3300555646419525, -0.47246187925338745, -0.04051411896944046, 0.4950537085533142, 0.05116228759288788, 0.33489543199539185, -0.4406455159187317, -0.034857116639614105, -0.2675701379776001, 0.036666177213191986, 0.051199350506067276, 0.2663924992084503)",0,0,0,-1.0,1.0,1.0,1,0,0.05478087649402391
10,281,"Kaiser, Johannes","Naranjo, Jaime",0.9710144927536232,Región Metropolitana de Santiago (47),Región del Maule (11),PLR,PS,Johannes Kaiser Barents-Von Hohenhagen,Jaime Naranjo Ortiz,derecha,centro_izquierda,johannes kaiser,jaime naranjo,neutral,,2.0,"(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)","(-0.09532375633716583, -0.6033055186271667, 0.42124277353286743, 0.4792490601539612, 0.47593387961387634, -0.2951275110244751, -0.21062995493412018, -0.27300432324409485, 0.16072839498519897, 0.09972921013832092, -0.3553610146045685, 0.5407090783119202)",0,0,0,0.5,5.0,1.0,0,0,0.07171314741035859
11,324,"Kaiser, Johannes","Mix, Claudia",0.9762845849802372,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,Comunes,Johannes Kaiser Barents-Von Hohenhagen,Claudia Mix Jimenez,derecha,izquierda,johannes kaiser,claudia mix,neutral,,2.0,"(0.09175875782966614, -0.7036693096160889, -0.12319058924913406, -0.13710972666740417, 0.11400880664587021, -0.5006994605064392, -0.06157030537724495, -0.014230264350771904, 0.6679415702819824, -0.6311754584312439, -0.45538759231567383, 0.09736055135726929)","(-0.3067551851272583, 0.03710037097334862, -0.2828017771244049, -0.08862482011318207, 0.22622638940811157, -0.45294004678726196, -0.06887263059616089, -0.1262274831533432, 0.6640920639038086, -0.7151166200637817, -0.45677733421325684, -0.25676095485687256)",0,0,1,0.5,5.0,5.0,1,0,0.07569721115537854
12,377,"Benavente, Gustavo","Cariola, Karol",0.9815546772068512,Región del Maule (11),Región Metropolitana de Santiago (47),UDI,PCCh,Gustavo Benavente Vergara,Karol Cariola Oliva,centro_derecha,izquierda,gustavo benavente,karol cariola,neutral,,2.0,"(0.6005507707595825, -0.033216867595911026, -0.8693734407424927, 0.4111100435256958, -0.7116571068763733, 0.12563498318195343, 0.2866595685482025, -0.11520090699195862, 0.08838213980197906, -0.10231241583824158, 0.3167448043823242, 0.06578192114830017)","(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)",0,0,0,0.5,6.0,0.0,0,0,0.0796812749003985
13,385,"Cuello, Luis Alberto","Ramirez, Guillermo",0.9828722002635046,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PCCh,UDI,Luis Cuello Pena y Lillo,Guillermo Ramirez Diez,izquierda,centro_derecha,luis cuello,guillermo ramírez,negative,,0.5,"(-0.6006969213485718, 0.6191859841346741, -0.24500775337219238, -0.024306442588567734, 0.26989275217056274, 0.014180215075612068, 0.10820265114307404, -0.13371019065380096, 0.009708849713206291, -0.1963072568178177, -0.2602418065071106, -0.3198695480823517)","(0.29868990182876587, 0.01381832454353571, -0.35624924302101135, 0.5075188279151917, 0.4355458617210388, 0.3775927722454071, -0.4108975827693939, 0.532281756401062, -0.7182883024215698, 0.0009501018794253469, -0.27519160509109497, -0.18727947771549225)",0,0,0,-1.0,0.0,3.0,0,0,0.08067729083665345
14,390,"Cariola, Karol","Schalper, Diego",0.9828722002635046,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PCCh,RN,Karol Cariola Oliva,Diego Schalper Sepulveda,izquierda,centro_derecha,karol cariola,diego schalper,negative,,0.5,"(-0.2627030611038208, 0.013633803464472294, -0.5015953779220581, -0.35528114438056946, -0.06337299197912216, -0.09727116674184799, -0.2532879710197449, -0.3320744037628174, -0.1651214063167572, -0.3984580934047699, 0.18195651471614838, -0.14150302112102509)","(0.5000088214874268, -0.012865266762673855, 0.09449426084756851, 0.13503797352313995, 0.8302730917930603, 0.06918229907751083, -0.04271029308438301, 0.020726988092064857, -0.43890637159347534, 0.23074309527873993, -0.03886774554848671, -0.4402972459793091)",0,0,0,-1.0,0.0,3.0,0,0,0.08067729083665345
