parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,Unnamed: 0,person_1,person_2,label,sentiment,date,original_index
"Castillo, Nathalie","Romero, Agustin",0.8484848484848485,Región de Coquimbo (7),Región Metropolitana de Santiago (47),PCCh,PLR,Nathalie Castillo Rojas,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Castillo, Nathalie","Sanchez, Luis",0.8590250329380764,Región de Coquimbo (7),Región de Valparaíso (16),PCCh,PLR,Nathalie Castillo Rojas,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Pizarro, Lorena","Romero, Agustin",0.8616600790513834,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Lorena Pizarro Sierra,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Kaiser, Johannes","Serrano, Daniela",0.8695652173913043,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Johannes Kaiser Barents-Von Hohenhagen,Daniela Serrano Salazar,derecha,izquierda,,,,,no_link_found,,
"Pizarro, Lorena","Sanchez, Luis",0.8722002635046113,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PLR,Lorena Pizarro Sierra,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Barchiesi, Chiara","Castillo, Nathalie",0.8761528326745718,Región de Valparaíso (16),Región de Coquimbo (7),PLR,PCCh,Chiara Barchiesi Chavez,Nathalie Castillo Rojas,derecha,izquierda,1856.0,chiara barchiesi,nathalie castillo,negative,negative,Unknown,494.0
"Acevedo, Maria Candelaria","Romero, Agustin",0.8774703557312253,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,PLR,Maria Candelaria Acevedo Saez,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Delgado, Viviana","Romero, Leonidas",0.8774703557312253,Región Metropolitana de Santiago (47),Región del Biobío (13),Ind-PL,Ind-RN,Viviana Delgado Riquelme,Leonidas Romero Saez,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Lorena Pizarro Sierra,derecha,izquierda,1618.0,chiara barchiesi,lorena pizarro,negative,negative,Unknown,435.0
"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Lorena Pizarro Sierra,derecha,izquierda,1854.0,chiara barchiesi,lorena pizarro,negative,negative,Unknown,494.0
