parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,person_1,person_2,label,sentiment,in_degree_1,out_degree_1,in_degree_2,out_degree_2,total_degree_1,total_degree_2,common_neighbors,page_rank_1,page_rank_2,betweenness_1,betweenness_2,closeness_1,closeness_2,eigenvector_1,eigenvector_2,cluster_1,cluster_2
"Barchiesi, Chiara","Castillo, Nathalie",0.8761528326745718,Región de Valparaíso (16),Región de Coquimbo (7),PLR,PCCh,Chiara Barchiesi Chavez,Nathalie Castillo Rojas,derecha,izquierda,chiara barchiesi,nathalie castillo,negative,negative,0,3,10,4,13.0,20.0,0,0.0029305674310870604,0.006249106494100079,0.0,0.0019606134541652145,0.0,0.07655502392344497,0.021665388762084927,0.0635646324561215,cluster_4,cluster_3
"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Lorena Pizarro Sierra,derecha,izquierda,chiara barchiesi,lorena pizarro,negative,negative,0,3,6,0,13.0,23.0,0,0.0029305674310870604,0.010913261748690546,0.0,0.0,0.0,0.1723790322580645,0.021665388762084927,0.06797094773187734,cluster_4,cluster_4
"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Lorena Pizarro Sierra,derecha,izquierda,chiara barchiesi,lorena pizarro,negative,negative,0,3,6,0,13.0,23.0,0,0.0029305674310870604,0.010913261748690546,0.0,0.0,0.0,0.1723790322580645,0.021665388762084927,0.06797094773187734,cluster_4,cluster_4
"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Lorena Pizarro Sierra,derecha,izquierda,chiara barchiesi,lorena pizarro,negative,negative,0,3,6,0,13.0,23.0,0,0.0029305674310870604,0.010913261748690546,0.0,0.0,0.0,0.1723790322580645,0.021665388762084927,0.06797094773187734,cluster_4,cluster_4
"Kaiser, Johannes","Pizarro, Lorena",0.8866930171277997,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Johannes Kaiser Barents-Von Hohenhagen,Lorena Pizarro Sierra,derecha,izquierda,johannes kaiser,lorena pizarro,negative,negative,5,10,6,0,50.0,23.0,1,0.007091671786560791,0.010913261748690546,0.010291768328105029,0.0,0.08596491228070174,0.1723790322580645,0.08644437652545693,0.06797094773187734,cluster_2,cluster_4
"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,karol cariola,johannes kaiser,positive,positive,12,24,5,10,111.0,50.0,3,0.006183932373787416,0.007091671786560791,0.023744309672551225,0.010291768328105029,0.0805921052631579,0.08596491228070174,0.22865286518953865,0.08644437652545693,cluster_2,cluster_2
"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,karol cariola,johannes kaiser,negative,negative,12,24,5,10,111.0,50.0,3,0.006183932373787416,0.007091671786560791,0.023744309672551225,0.010291768328105029,0.0805921052631579,0.08596491228070174,0.22865286518953865,0.08644437652545693,cluster_2,cluster_2
"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,karol cariola,johannes kaiser,negative,negative,12,24,5,10,111.0,50.0,3,0.006183932373787416,0.007091671786560791,0.023744309672551225,0.010291768328105029,0.0805921052631579,0.08596491228070174,0.22865286518953865,0.08644437652545693,cluster_2,cluster_2
"Cariola, Karol","Sanchez, Luis",0.9262187088274044,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PLR,Karol Cariola Oliva,Luis Sanchez Ossa,izquierda,derecha,karol cariola,luis sanchez,negative,negative,12,24,2,0,111.0,4.0,0,0.006183932373787416,0.003979811176238516,0.023744309672551225,0.0,0.0805921052631579,0.05263157894736842,0.22865286518953865,0.017770200869072047,cluster_2,cluster_2
"Bobadilla, Sergio","Cariola, Karol",0.9420289855072465,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PCCh,Sergio Bobadilla Munoz,Karol Cariola Oliva,centro_derecha,izquierda,sergio bobadilla,karol cariola,neutral,neutral,1,10,12,24,33.0,111.0,1,0.003207319383151129,0.006183932373787416,0.0002458547029826221,0.023744309672551225,0.006578947368421052,0.0805921052631579,0.0556698156833212,0.22865286518953865,cluster_5,cluster_2
"Bobadilla, Sergio","Cariola, Karol",0.9420289855072465,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PCCh,Sergio Bobadilla Munoz,Karol Cariola Oliva,centro_derecha,izquierda,sergio bobadilla,karol cariola,negative,negative,1,10,12,24,33.0,111.0,1,0.003207319383151129,0.006183932373787416,0.0002458547029826221,0.023744309672551225,0.006578947368421052,0.0805921052631579,0.0556698156833212,0.22865286518953865,cluster_5,cluster_2
"Bobadilla, Sergio","Cariola, Karol",0.9420289855072465,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PCCh,Sergio Bobadilla Munoz,Karol Cariola Oliva,centro_derecha,izquierda,sergio bobadilla,karol cariola,negative,negative,1,10,12,24,33.0,111.0,1,0.003207319383151129,0.006183932373787416,0.0002458547029826221,0.023744309672551225,0.006578947368421052,0.0805921052631579,0.0556698156833212,0.22865286518953865,cluster_5,cluster_2
"Bobadilla, Sergio","Cariola, Karol",0.9420289855072465,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PCCh,Sergio Bobadilla Munoz,Karol Cariola Oliva,centro_derecha,izquierda,sergio bobadilla,karol cariola,negative,negative,1,10,12,24,33.0,111.0,1,0.003207319383151129,0.006183932373787416,0.0002458547029826221,0.023744309672551225,0.006578947368421052,0.0805921052631579,0.0556698156833212,0.22865286518953865,cluster_5,cluster_2
"Barchiesi, Chiara","Placencia, Alejandra",0.9459815546772068,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Alejandra Placencia Cabello,derecha,izquierda,chiara barchiesi,alejandra placencia,negative,negative,0,3,1,0,13.0,3.0,0,0.0029305674310870604,0.0037608232872792663,0.0,0.0,0.0,0.006578947368421052,0.021665388762084927,0.0016266073164973543,cluster_4,cluster_4
"Lilayu, Daniel","Winter, Gonzalo",0.9486166007905138,Región de Los Lagos (9),Región Metropolitana de Santiago (47),UDI,CS,Daniel Lilayu Vivanco,Gonzalo Winter Etcheberry,centro_derecha,izquierda,daniel lilayu,gonzalo winter,negative,negative,1,3,10,1,10.0,41.0,0,0.003553259323231215,0.03589801482299446,6.535378180550714e-05,0.0007485894009944202,0.006578947368421052,0.23796671165092217,0.02354955457290808,0.1200664607204339,cluster_5,cluster_1
