Región,Diputado,Partido
Región de Arica y Parinacota (3),Vlado Mirosevic Verdugo,PL
Región de Arica y Parinacota (3),Luis Malla Valenzuela,PL
Región de Arica y Parinacota (3),Enrique Lee Flores,
Región de Tarapacá (3),Renzo Trisotti Martínez,UDI
Región de Tarapacá (3),Matías Ramirez Pascal,PCCh
Región de Tarapacá (3),Danisa Astudillo Peiretti,PS
Región de Antofagasta (5),Catalina Pérez Salinas,RD
Región de Antofagasta (5),Sebastián Videla Castillo,Ind-PL
Región de Antofagasta (5),Jaime Araya Guerrero,Ind-PPD
Región de Antofagasta (5),Yovana Ahumada Palma,
Región de Antofagasta (5),José Miguel Castro Bascuńán,RN
Región de Atacama (5),Daniella Cicardini Milla,PS
Región de Atacama (5),Juan Santana Castillo,PS
Región de Atacama (5),Cristian Tapia Ramos,Ind-PPD
Región de Atacama (5),Jaime Mulet Martínez,FRVS
Región de Atacama (5),Sofía Cid Versalovic,RN
Región de Coquimbo (7),Marco Sulantay Olivares,UDI
Región de Coquimbo (7),Juan Manuel Fuenzalida Cobo,UDI
Región de Coquimbo (7),Nathalie Castillo Rojas,PCCh
Región de Coquimbo (7),Carolina Tello Rojas,PCCh
Región de Coquimbo (7),Daniel Manouchehri Moghadam Kashan Lobos,PS
Región de Coquimbo (7),Ricardo Cifuentes Lillo,PDC
Región de Coquimbo (7),Víctor Pino Fuentes,
Región de Valparaíso (16),Diego Ibáńez Cotroneo,CS
Región de Valparaíso (16),María Francisca Bello Campos,CS
Región de Valparaíso (16),Carolina Marzán Pinto,PPD
Región de Valparaíso (16),Nelson Venegas Salazar,PS
Región de Valparaíso (16),Andrés Longton Herrera,RN
Región de Valparaíso (16),Camila Flores Oporto,RN
Región de Valparaíso (16),Chiara Barchiesi Chávez,PLR
Región de Valparaíso (16),Gaspar Rivas Sánchez,PDG
Región de Valparaíso (16),Tomás Lagomarsino Guzmán,PR
Región de Valparaíso (16),Tomás De Rementería Venegas,PS
Región de Valparaíso (16),Camila Rojas Valderrama,Comunes
Región de Valparaíso (16),Jorge Brito Hasbún,RD
Región de Valparaíso (16),Luis Cuello Peńa y Lillo,PCCh
Región de Valparaíso (16),Andrés Celis Montt,RN
Región de Valparaíso (16),Hotuiti Teao Drago,Ind-Evópoli
Región de Valparaíso (16),Luis Sánchez Ossa,PLR
Región Metropolitana de Santiago (47),Carmen Hertz Cádiz,PCCh
Región Metropolitana de Santiago (47),Claudia Mix Jiménez,Comunes
Región Metropolitana de Santiago (47),Joaquín Lavín León,UDI
Región Metropolitana de Santiago (47),Cristián Labbé Martínez,UDI
Región Metropolitana de Santiago (47),Agustín Romero Leiva,PLR
Región Metropolitana de Santiago (47),Viviana Delgado Riquelme,Ind-PL
Región Metropolitana de Santiago (47),Alberto Undurraga Vicuńa,PDC
Región Metropolitana de Santiago (47),Rubén Oyarzo Figueroa,PDG
Región Metropolitana de Santiago (47),Karol Cariola Oliva,PCCh
Región Metropolitana de Santiago (47),Boris Barrera Moreno,PCCh
Región Metropolitana de Santiago (47),Maite Orsini Pascal,RD
Región Metropolitana de Santiago (47),Andrés Giordano Salazar,Ind-RD
Región Metropolitana de Santiago (47),Jorge Durán Espinoza,RN
Región Metropolitana de Santiago (47),Érika Olivera de la Fuente,Demócratas
Región Metropolitana de Santiago (47),José Carlos Meza Pereira,PLR
Región Metropolitana de Santiago (47),Gonzalo Winter Etcheberry,CS
Región Metropolitana de Santiago (47),Lorena Fries Monleón,CS
Región Metropolitana de Santiago (47),Emilia Schneider Videla,CS
Región Metropolitana de Santiago (47),Alejandra Placencia Cabello,PCCh
Región Metropolitana de Santiago (47),Jorge Alessandri Vergara,UDI
Región Metropolitana de Santiago (47),María Luisa Cordero Velásquez,Ind-RN
Región Metropolitana de Santiago (47),Johannes Kaiser Barents-Von Hohenhagen,PLR
Región Metropolitana de Santiago (47),Helia Molina Milman,PPD
Región Metropolitana de Santiago (47),Gonzalo de la Carrera Correa,
Región Metropolitana de Santiago (47),Cristián Araya Lerdo de Tejada,PLR
Región Metropolitana de Santiago (47),Francisco Undurraga Gazitúa,Evópoli
Región Metropolitana de Santiago (47),Guillermo Ramírez Diez,UDI
Región Metropolitana de Santiago (47),Catalina del Real Mihovilovic,Ind-RN
Región Metropolitana de Santiago (47),Tomás Hirsch Goldschmidt,AH
Región Metropolitana de Santiago (47),Pamela Jiles Moreno,
Región Metropolitana de Santiago (47),Mónica Arce Castro,PH
Región Metropolitana de Santiago (47),Hernán Palma Pérez,
Región Metropolitana de Santiago (47),Ximena Ossandón Irarrázabal,RN
Región Metropolitana de Santiago (47),Álvaro Carter Fernández,Ind-UDI
Región Metropolitana de Santiago (47),Ana María Gazmuri Vieira,AH
Región Metropolitana de Santiago (47),Daniela Serrano Salazar,PCCh
Región Metropolitana de Santiago (47),Gael Yeomans Araya,CS
Región Metropolitana de Santiago (47),Lorena Pizarro Sierra,PCCh
Región Metropolitana de Santiago (47),Eduardo Durán Salinas,RN
Región Metropolitana de Santiago (47),Cristhian Moreira Barros,UDI
Región Metropolitana de Santiago (47),Daniel Melo Contreras,PS
Región Metropolitana de Santiago (47),Marisela Santibáńez Novoa,PCCh
Región Metropolitana de Santiago (47),Camila Musante Müller,Ind-PPD
